"","Vaccine","Geography.Type","Geography","FIPS","Season.Survey.Year","Month","Dimension.Type","Dimension","Estimate....","X95..CI....","Sample.Size","ym"
"999","Seasonal Influenza","States/Local Areas","New Hampshire",33,"2010-11",12,"Age","≥6 Months",41.3,"39.2 to 43.4",6859,2010-12-01
"1000","Seasonal Influenza","States/Local Areas","New Jersey",34,"2010-11",12,"Age","≥6 Months",37.9,"36.4 to 39.4",13887,2010-12-01
"1001","Seasonal Influenza","States/Local Areas","New Mexico",35,"2010-11",12,"Age","≥6 Months",42.1,"39.7 to 44.5",9188,2010-12-01
"1002","Seasonal Influenza","States/Local Areas","New York",36,"2010-11",12,"Age","≥6 Months",38.8,"37.1 to 40.5",11525,2010-12-01
"1003","Seasonal Influenza","States/Local Areas","North Carolina",37,"2010-11",12,"Age","≥6 Months",39.8,"37.5 to 42.1",9572,2010-12-01
"1004","Seasonal Influenza","States/Local Areas","North Dakota",38,"2010-11",12,"Age","≥6 Months",42.9,"40.4 to 45.4",5756,2010-12-01
"1005","Seasonal Influenza","States/Local Areas","Ohio",39,"2010-11",12,"Age","≥6 Months",39,"37.3 to 40.7",9766,2010-12-01
"1006","Seasonal Influenza","States/Local Areas","Oklahoma",40,"2010-11",12,"Age","≥6 Months",40.7,"38.6 to 42.8",8093,2010-12-01
"1007","Seasonal Influenza","States/Local Areas","Oregon",41,"2010-11",12,"Age","≥6 Months",33.2,"31.1 to 35.3",6064,2010-12-01
"1008","Seasonal Influenza","States/Local Areas","Pennsylvania",42,"2010-11",12,"Age","≥6 Months",39.4,"37.8 to 41.0",12439,2010-12-01
"1009","Seasonal Influenza","States/Local Areas","Rhode Island",44,"2010-11",12,"Age","≥6 Months",48.8,"47.0 to 50.6",7508,2010-12-01
"1010","Seasonal Influenza","States/Local Areas","South Carolina",45,"2010-11",12,"Age","≥6 Months",40.3,"38.0 to 42.6",10200,2010-12-01
"1011","Seasonal Influenza","States/Local Areas","South Dakota",46,"2010-11",12,"Age","≥6 Months",49.8,"46.3 to 53.3",7253,2010-12-01
"1012","Seasonal Influenza","States/Local Areas","Tennessee",47,"2010-11",12,"Age","≥6 Months",41.2,"38.9 to 43.5",7269,2010-12-01
"1013","Seasonal Influenza","States/Local Areas","Texas",48,"2010-11",12,"Age","≥6 Months",36.5,"34.8 to 38.2",22207,2010-12-01
"1014","Seasonal Influenza","States/Local Areas","Utah",49,"2010-11",12,"Age","≥6 Months",40.8,"38.6 to 43.0",10551,2010-12-01
"1015","Seasonal Influenza","States/Local Areas","Vermont",50,"2010-11",12,"Age","≥6 Months",42,"39.8 to 44.2",7738,2010-12-01
"1016","Seasonal Influenza","States/Local Areas","Virginia",51,"2010-11",12,"Age","≥6 Months",45.6,"43.3 to 47.9",7537,2010-12-01
"1017","Seasonal Influenza","States/Local Areas","Washington",53,"2010-11",12,"Age","≥6 Months",38.2,"36.3 to 40.1",18192,2010-12-01
"1018","Seasonal Influenza","States/Local Areas","West Virginia",54,"2010-11",12,"Age","≥6 Months",43.5,"41.0 to 46.0",5748,2010-12-01
"1019","Seasonal Influenza","States/Local Areas","Wisconsin",55,"2010-11",12,"Age","≥6 Months",37.2,"35.0 to 39.4",6899,2010-12-01
"1020","Seasonal Influenza","States/Local Areas","Wyoming",56,"2010-11",12,"Age","≥6 Months",38.2,"35.2 to 41.2",7019,2010-12-01
"1021","Seasonal Influenza","States/Local Areas","Alabama",1,"2011-12",1,"Age","≥6 Months",38.9,"37.1 to 40.7",8598,2011-01-01
"1022","Seasonal Influenza","States/Local Areas","Alaska",2,"2011-12",1,"Age","≥6 Months",32.8,"30.3 to 35.3",4380,2011-01-01
"1023","Seasonal Influenza","States/Local Areas","Arizona",4,"2011-12",1,"Age","≥6 Months",36.5,"34.2 to 38.8",7028,2011-01-01
"1024","Seasonal Influenza","States/Local Areas","Arkansas",5,"2011-12",1,"Age","≥6 Months",42.9,"40.6 to 45.2",5812,2011-01-01
"1025","Seasonal Influenza","States/Local Areas","California",6,"2011-12",1,"Age","≥6 Months",35.8,"34.1 to 37.5",10219,2011-01-01
"1026","Seasonal Influenza","States/Local Areas","Colorado",8,"2011-12",1,"Age","≥6 Months",42,"40.4 to 43.6",11945,2011-01-01
"1027","Seasonal Influenza","States/Local Areas","Connecticut",9,"2011-12",1,"Age","≥6 Months",44.9,"43.1 to 46.7",8043,2011-01-01
"1028","Seasonal Influenza","States/Local Areas","Delaware",10,"2011-12",1,"Age","≥6 Months",44.1,"41.7 to 46.5",5737,2011-01-01
"1029","Seasonal Influenza","States/Local Areas","District of Columbia",11,"2011-12",1,"Age","≥6 Months",43.6,"41.0 to 46.2",5203,2011-01-01
"1030","Seasonal Influenza","States/Local Areas","Florida",12,"2011-12",1,"Age","≥6 Months",34.2,"31.7 to 36.7",7739,2011-01-01
"1031","Seasonal Influenza","States/Local Areas","Georgia",13,"2011-12",1,"Age","≥6 Months",35.2,"33.2 to 37.2",8305,2011-01-01
"1032","Seasonal Influenza","States/Local Areas","Hawaii",15,"2011-12",1,"Age","≥6 Months",42.7,"40.3 to 45.1",7461,2011-01-01
"1033","Seasonal Influenza","States/Local Areas","Idaho",16,"2011-12",1,"Age","≥6 Months",32.3,"30.2 to 34.4",6375,2011-01-01
"1034","Seasonal Influenza","States/Local Areas","Illinois",17,"2011-12",1,"Age","≥6 Months",35.9,"33.9 to 37.9",7725,2011-01-01
"1035","Seasonal Influenza","States/Local Areas","Indiana",18,"2011-12",1,"Age","≥6 Months",38.6,"36.9 to 40.3",7767,2011-01-01
"1036","Seasonal Influenza","States/Local Areas","Iowa",19,"2011-12",1,"Age","≥6 Months",46.7,"45.0 to 48.4",7238,2011-01-01
"1037","Seasonal Influenza","States/Local Areas","Kansas",20,"2011-12",1,"Age","≥6 Months",42.7,"41.2 to 44.2",15425,2011-01-01
"1038","Seasonal Influenza","States/Local Areas","Kentucky",21,"2011-12",1,"Age","≥6 Months",40.7,"39.1 to 42.3",10860,2011-01-01
"1039","Seasonal Influenza","States/Local Areas","Louisiana",22,"2011-12",1,"Age","≥6 Months",40.3,"38.3 to 42.3",8936,2011-01-01
"1040","Seasonal Influenza","States/Local Areas","Maine",23,"2011-12",1,"Age","≥6 Months",44.3,"42.7 to 45.9",10667,2011-01-01
"1041","Seasonal Influenza","States/Local Areas","Maryland",24,"2011-12",1,"Age","≥6 Months",43.4,"41.3 to 45.5",12091,2011-01-01
"1042","Seasonal Influenza","States/Local Areas","Massachusetts",25,"2011-12",1,"Age","≥6 Months",46.9,"45.5 to 48.3",19861,2011-01-01
"1043","Seasonal Influenza","States/Local Areas","Michigan",26,"2011-12",1,"Age","≥6 Months",37,"35.4 to 38.6",9619,2011-01-01
"1044","Seasonal Influenza","States/Local Areas","Minnesota",27,"2011-12",1,"Age","≥6 Months",45.8,"44.2 to 47.4",14706,2011-01-01
"1045","Seasonal Influenza","States/Local Areas","Mississippi",28,"2011-12",1,"Age","≥6 Months",37.6,"35.7 to 39.5",7669,2011-01-01
"1046","Seasonal Influenza","States/Local Areas","Missouri",29,"2011-12",1,"Age","≥6 Months",40.4,"38.1 to 42.7",5835,2011-01-01
"1047","Seasonal Influenza","States/Local Areas","Montana",30,"2011-12",1,"Age","≥6 Months",34.5,"32.8 to 36.2",8967,2011-01-01
"1048","Seasonal Influenza","States/Local Areas","Nebraska",31,"2011-12",1,"Age","≥6 Months",43.3,"41.8 to 44.8",21365,2011-01-01
"1049","Seasonal Influenza","States/Local Areas","Nevada",32,"2011-12",1,"Age","≥6 Months",30.3,"27.8 to 32.8",6304,2011-01-01
"1050","Seasonal Influenza","States/Local Areas","New Hampshire",33,"2011-12",1,"Age","≥6 Months",41.9,"40.1 to 43.7",7003,2011-01-01
"1051","Seasonal Influenza","States/Local Areas","New Jersey",34,"2011-12",1,"Age","≥6 Months",40.5,"38.9 to 42.1",12538,2011-01-01
"1052","Seasonal Influenza","States/Local Areas","New Mexico",35,"2011-12",1,"Age","≥6 Months",42.4,"40.7 to 44.1",8714,2011-01-01
"1053","Seasonal Influenza","States/Local Areas","New York",36,"2011-12",1,"Age","≥6 Months",39.3,"37.6 to 41.0",8392,2011-01-01
"1054","Seasonal Influenza","States/Local Areas","North Carolina",37,"2011-12",1,"Age","≥6 Months",43.8,"42.1 to 45.5",13141,2011-01-01
"1055","Seasonal Influenza","States/Local Areas","North Dakota",38,"2011-12",1,"Age","≥6 Months",41.7,"39.6 to 43.8",5126,2011-01-01
"1056","Seasonal Influenza","States/Local Areas","Ohio",39,"2011-12",1,"Age","≥6 Months",40.8,"39.3 to 42.3",9768,2011-01-01
"1057","Seasonal Influenza","States/Local Areas","Oklahoma",40,"2011-12",1,"Age","≥6 Months",42.4,"40.4 to 44.4",7841,2011-01-01
"1058","Seasonal Influenza","States/Local Areas","Oregon",41,"2011-12",1,"Age","≥6 Months",35.9,"34.2 to 37.6",6398,2011-01-01
"1059","Seasonal Influenza","States/Local Areas","Pennsylvania",42,"2011-12",1,"Age","≥6 Months",41.9,"40.6 to 43.2",16922,2011-01-01
"1060","Seasonal Influenza","States/Local Areas","Rhode Island",44,"2011-12",1,"Age","≥6 Months",46.6,"44.6 to 48.6",6948,2011-01-01
"1061","Seasonal Influenza","States/Local Areas","South Carolina",45,"2011-12",1,"Age","≥6 Months",38.6,"36.9 to 40.3",12189,2011-01-01
"1062","Seasonal Influenza","States/Local Areas","South Dakota",46,"2011-12",1,"Age","≥6 Months",49.9,"46.7 to 53.1",5473,2011-01-01
"1063","Seasonal Influenza","States/Local Areas","Tennessee",47,"2011-12",1,"Age","≥6 Months",44.4,"41.0 to 47.8",6820,2011-01-01
"1064","Seasonal Influenza","States/Local Areas","Texas",48,"2011-12",1,"Age","≥6 Months",38.6,"37.1 to 40.1",18233,2011-01-01
"1065","Seasonal Influenza","States/Local Areas","Utah",49,"2011-12",1,"Age","≥6 Months",41.5,"39.4 to 43.6",9449,2011-01-01
"1066","Seasonal Influenza","States/Local Areas","Vermont",50,"2011-12",1,"Age","≥6 Months",43.9,"42.0 to 45.8",6807,2011-01-01
"1067","Seasonal Influenza","States/Local Areas","Virginia",51,"2011-12",1,"Age","≥6 Months",43.7,"41.6 to 45.8",6957,2011-01-01
"1068","Seasonal Influenza","States/Local Areas","Washington",53,"2011-12",1,"Age","≥6 Months",39,"37.5 to 40.5",14140,2011-01-01
"1069","Seasonal Influenza","States/Local Areas","West Virginia",54,"2011-12",1,"Age","≥6 Months",45.8,"43.9 to 47.7",6026,2011-01-01
"1070","Seasonal Influenza","States/Local Areas","Wisconsin",55,"2011-12",1,"Age","≥6 Months",38.8,"36.5 to 41.1",4907,2011-01-01
"1071","Seasonal Influenza","States/Local Areas","Wyoming",56,"2011-12",1,"Age","≥6 Months",35.5,"33.1 to 37.9",6621,2011-01-01
"1072","Seasonal Influenza","States/Local Areas","Alabama",1,"2011-12",2,"Age","≥6 Months",40.1,"38.3 to 41.9",8598,2011-02-01
"1073","Seasonal Influenza","States/Local Areas","Alaska",2,"2011-12",2,"Age","≥6 Months",33.8,"31.3 to 36.3",4380,2011-02-01
"1074","Seasonal Influenza","States/Local Areas","Arizona",4,"2011-12",2,"Age","≥6 Months",37.3,"35.0 to 39.6",7028,2011-02-01
"1075","Seasonal Influenza","States/Local Areas","Arkansas",5,"2011-12",2,"Age","≥6 Months",44.3,"42.0 to 46.6",5812,2011-02-01
"1076","Seasonal Influenza","States/Local Areas","California",6,"2011-12",2,"Age","≥6 Months",36.6,"34.8 to 38.4",10219,2011-02-01
"1077","Seasonal Influenza","States/Local Areas","Colorado",8,"2011-12",2,"Age","≥6 Months",43.4,"41.7 to 45.1",11945,2011-02-01
"1078","Seasonal Influenza","States/Local Areas","Connecticut",9,"2011-12",2,"Age","≥6 Months",45.8,"43.8 to 47.8",8043,2011-02-01
"1079","Seasonal Influenza","States/Local Areas","Delaware",10,"2011-12",2,"Age","≥6 Months",44.8,"42.4 to 47.2",5737,2011-02-01
"1080","Seasonal Influenza","States/Local Areas","District of Columbia",11,"2011-12",2,"Age","≥6 Months",44.9,"42.2 to 47.6",5203,2011-02-01
"1081","Seasonal Influenza","States/Local Areas","Florida",12,"2011-12",2,"Age","≥6 Months",35.6,"33.0 to 38.2",7739,2011-02-01
"1082","Seasonal Influenza","States/Local Areas","Georgia",13,"2011-12",2,"Age","≥6 Months",36.7,"34.7 to 38.7",8305,2011-02-01
"1083","Seasonal Influenza","States/Local Areas","Hawaii",15,"2011-12",2,"Age","≥6 Months",45.8,"43.3 to 48.3",7461,2011-02-01
"1084","Seasonal Influenza","States/Local Areas","Idaho",16,"2011-12",2,"Age","≥6 Months",33.5,"31.3 to 35.7",6375,2011-02-01
"1085","Seasonal Influenza","States/Local Areas","Illinois",17,"2011-12",2,"Age","≥6 Months",36.7,"34.7 to 38.7",7725,2011-02-01
"1086","Seasonal Influenza","States/Local Areas","Indiana",18,"2011-12",2,"Age","≥6 Months",39.4,"37.6 to 41.2",7767,2011-02-01
"1087","Seasonal Influenza","States/Local Areas","Iowa",19,"2011-12",2,"Age","≥6 Months",47.4,"45.7 to 49.1",7238,2011-02-01
"1088","Seasonal Influenza","States/Local Areas","Kansas",20,"2011-12",2,"Age","≥6 Months",43.6,"42.1 to 45.1",15425,2011-02-01
"1089","Seasonal Influenza","States/Local Areas","Kentucky",21,"2011-12",2,"Age","≥6 Months",42.1,"40.4 to 43.8",10860,2011-02-01
"1090","Seasonal Influenza","States/Local Areas","Louisiana",22,"2011-12",2,"Age","≥6 Months",43,"40.9 to 45.1",8936,2011-02-01
"1091","Seasonal Influenza","States/Local Areas","Maine",23,"2011-12",2,"Age","≥6 Months",45.1,"43.5 to 46.7",10667,2011-02-01
"1092","Seasonal Influenza","States/Local Areas","Maryland",24,"2011-12",2,"Age","≥6 Months",44.9,"42.8 to 47.0",12091,2011-02-01
"1093","Seasonal Influenza","States/Local Areas","Massachusetts",25,"2011-12",2,"Age","≥6 Months",48.5,"47.1 to 49.9",19861,2011-02-01
"1094","Seasonal Influenza","States/Local Areas","Michigan",26,"2011-12",2,"Age","≥6 Months",37.9,"36.3 to 39.5",9619,2011-02-01
"1095","Seasonal Influenza","States/Local Areas","Minnesota",27,"2011-12",2,"Age","≥6 Months",46.6,"44.9 to 48.3",14706,2011-02-01
"1096","Seasonal Influenza","States/Local Areas","Mississippi",28,"2011-12",2,"Age","≥6 Months",38.8,"36.8 to 40.8",7669,2011-02-01
"1097","Seasonal Influenza","States/Local Areas","Missouri",29,"2011-12",2,"Age","≥6 Months",41.7,"39.3 to 44.1",5835,2011-02-01
"1098","Seasonal Influenza","States/Local Areas","Montana",30,"2011-12",2,"Age","≥6 Months",35.7,"33.9 to 37.5",8967,2011-02-01
"1099","Seasonal Influenza","States/Local Areas","Nebraska",31,"2011-12",2,"Age","≥6 Months",44,"42.5 to 45.5",21365,2011-02-01
"1100","Seasonal Influenza","States/Local Areas","Nevada",32,"2011-12",2,"Age","≥6 Months",31.2,"28.7 to 33.7",6304,2011-02-01
"1101","Seasonal Influenza","States/Local Areas","New Hampshire",33,"2011-12",2,"Age","≥6 Months",43,"41.0 to 45.0",7003,2011-02-01
"1102","Seasonal Influenza","States/Local Areas","New Jersey",34,"2011-12",2,"Age","≥6 Months",41.8,"40.2 to 43.4",12538,2011-02-01
"1103","Seasonal Influenza","States/Local Areas","New Mexico",35,"2011-12",2,"Age","≥6 Months",43.6,"41.8 to 45.4",8714,2011-02-01
"1104","Seasonal Influenza","States/Local Areas","New York",36,"2011-12",2,"Age","≥6 Months",40.3,"38.6 to 42.0",8392,2011-02-01
"1105","Seasonal Influenza","States/Local Areas","North Carolina",37,"2011-12",2,"Age","≥6 Months",44.9,"43.2 to 46.6",13141,2011-02-01
"1106","Seasonal Influenza","States/Local Areas","North Dakota",38,"2011-12",2,"Age","≥6 Months",43,"40.9 to 45.1",5126,2011-02-01
"1107","Seasonal Influenza","States/Local Areas","Ohio",39,"2011-12",2,"Age","≥6 Months",42,"40.3 to 43.7",9768,2011-02-01
"1108","Seasonal Influenza","States/Local Areas","Oklahoma",40,"2011-12",2,"Age","≥6 Months",43.6,"41.6 to 45.6",7841,2011-02-01
"1109","Seasonal Influenza","States/Local Areas","Oregon",41,"2011-12",2,"Age","≥6 Months",36.4,"34.6 to 38.2",6398,2011-02-01
"1110","Seasonal Influenza","States/Local Areas","Pennsylvania",42,"2011-12",2,"Age","≥6 Months",42.9,"41.4 to 44.4",16922,2011-02-01
"1111","Seasonal Influenza","States/Local Areas","Rhode Island",44,"2011-12",2,"Age","≥6 Months",48.4,"46.3 to 50.5",6948,2011-02-01
"1112","Seasonal Influenza","States/Local Areas","South Carolina",45,"2011-12",2,"Age","≥6 Months",40.3,"38.5 to 42.1",12189,2011-02-01
"1113","Seasonal Influenza","States/Local Areas","South Dakota",46,"2011-12",2,"Age","≥6 Months",51.1,"47.9 to 54.3",5473,2011-02-01
"1114","Seasonal Influenza","States/Local Areas","Tennessee",47,"2011-12",2,"Age","≥6 Months",46.6,"43.2 to 50.0",6820,2011-02-01
"1115","Seasonal Influenza","States/Local Areas","Texas",48,"2011-12",2,"Age","≥6 Months",40.2,"38.6 to 41.8",18233,2011-02-01
"1116","Seasonal Influenza","States/Local Areas","Utah",49,"2011-12",2,"Age","≥6 Months",42.5,"40.3 to 44.7",9449,2011-02-01
"1117","Seasonal Influenza","States/Local Areas","Vermont",50,"2011-12",2,"Age","≥6 Months",44.4,"42.5 to 46.3",6807,2011-02-01
"1118","Seasonal Influenza","States/Local Areas","Virginia",51,"2011-12",2,"Age","≥6 Months",45,"42.9 to 47.1",6957,2011-02-01
"1119","Seasonal Influenza","States/Local Areas","Washington",53,"2011-12",2,"Age","≥6 Months",39.9,"38.3 to 41.5",14140,2011-02-01
"1120","Seasonal Influenza","States/Local Areas","West Virginia",54,"2011-12",2,"Age","≥6 Months",46.6,"44.7 to 48.5",6026,2011-02-01
"1121","Seasonal Influenza","States/Local Areas","Wisconsin",55,"2011-12",2,"Age","≥6 Months",39.2,"36.9 to 41.5",4907,2011-02-01
"1122","Seasonal Influenza","States/Local Areas","Wyoming",56,"2011-12",2,"Age","≥6 Months",36.1,"33.7 to 38.5",6621,2011-02-01
"1123","Seasonal Influenza","States/Local Areas","Alabama",1,"2011-12",3,"Age","≥6 Months",41.4,"39.5 to 43.3",8598,2011-03-01
"1124","Seasonal Influenza","States/Local Areas","Alaska",2,"2011-12",3,"Age","≥6 Months",34.5,"32.0 to 37.0",4380,2011-03-01
"1125","Seasonal Influenza","States/Local Areas","Arizona",4,"2011-12",3,"Age","≥6 Months",37.9,"35.5 to 40.3",7028,2011-03-01
"1126","Seasonal Influenza","States/Local Areas","Arkansas",5,"2011-12",3,"Age","≥6 Months",45.5,"43.1 to 47.9",5812,2011-03-01
"1127","Seasonal Influenza","States/Local Areas","California",6,"2011-12",3,"Age","≥6 Months",37.6,"35.8 to 39.4",10219,2011-03-01
"1128","Seasonal Influenza","States/Local Areas","Colorado",8,"2011-12",3,"Age","≥6 Months",43.9,"42.2 to 45.6",11945,2011-03-01
"1129","Seasonal Influenza","States/Local Areas","Connecticut",9,"2011-12",3,"Age","≥6 Months",46.1,"44.1 to 48.1",8043,2011-03-01
"1130","Seasonal Influenza","States/Local Areas","Delaware",10,"2011-12",3,"Age","≥6 Months",46.1,"43.6 to 48.6",5737,2011-03-01
"1131","Seasonal Influenza","States/Local Areas","District of Columbia",11,"2011-12",3,"Age","≥6 Months",46.1,"43.4 to 48.8",5203,2011-03-01
"1132","Seasonal Influenza","States/Local Areas","Florida",12,"2011-12",3,"Age","≥6 Months",36.4,"33.7 to 39.1",7739,2011-03-01
"1133","Seasonal Influenza","States/Local Areas","Georgia",13,"2011-12",3,"Age","≥6 Months",37.6,"35.5 to 39.7",8305,2011-03-01
"1134","Seasonal Influenza","States/Local Areas","Hawaii",15,"2011-12",3,"Age","≥6 Months",47.5,"45.0 to 50.0",7461,2011-03-01
"1135","Seasonal Influenza","States/Local Areas","Idaho",16,"2011-12",3,"Age","≥6 Months",34.3,"32.0 to 36.6",6375,2011-03-01
"1136","Seasonal Influenza","States/Local Areas","Illinois",17,"2011-12",3,"Age","≥6 Months",37.2,"35.2 to 39.2",7725,2011-03-01
"1137","Seasonal Influenza","States/Local Areas","Indiana",18,"2011-12",3,"Age","≥6 Months",39.8,"38.0 to 41.6",7767,2011-03-01
"1138","Seasonal Influenza","States/Local Areas","Iowa",19,"2011-12",3,"Age","≥6 Months",47.8,"46.1 to 49.5",7238,2011-03-01
"1139","Seasonal Influenza","States/Local Areas","Kansas",20,"2011-12",3,"Age","≥6 Months",44,"42.5 to 45.5",15425,2011-03-01
"1140","Seasonal Influenza","States/Local Areas","Kentucky",21,"2011-12",3,"Age","≥6 Months",42.4,"40.7 to 44.1",10860,2011-03-01
"1141","Seasonal Influenza","States/Local Areas","Louisiana",22,"2011-12",3,"Age","≥6 Months",43.7,"41.6 to 45.8",8936,2011-03-01
"1142","Seasonal Influenza","States/Local Areas","Maine",23,"2011-12",3,"Age","≥6 Months",45.5,"43.9 to 47.1",10667,2011-03-01
"1143","Seasonal Influenza","States/Local Areas","Maryland",24,"2011-12",3,"Age","≥6 Months",46.6,"44.3 to 48.9",12091,2011-03-01
"1144","Seasonal Influenza","States/Local Areas","Massachusetts",25,"2011-12",3,"Age","≥6 Months",49.1,"47.7 to 50.5",19861,2011-03-01
"1145","Seasonal Influenza","States/Local Areas","Michigan",26,"2011-12",3,"Age","≥6 Months",38.3,"36.7 to 39.9",9619,2011-03-01
"1146","Seasonal Influenza","States/Local Areas","Minnesota",27,"2011-12",3,"Age","≥6 Months",46.8,"45.1 to 48.5",14706,2011-03-01
"1147","Seasonal Influenza","States/Local Areas","Mississippi",28,"2011-12",3,"Age","≥6 Months",39.3,"37.3 to 41.3",7669,2011-03-01
"1148","Seasonal Influenza","States/Local Areas","Missouri",29,"2011-12",3,"Age","≥6 Months",41.7,"39.3 to 44.1",5835,2011-03-01
"1149","Seasonal Influenza","States/Local Areas","Montana",30,"2011-12",3,"Age","≥6 Months",36.5,"34.7 to 38.3",8967,2011-03-01
"1150","Seasonal Influenza","States/Local Areas","Nebraska",31,"2011-12",3,"Age","≥6 Months",44.7,"43.2 to 46.2",21365,2011-03-01
"1151","Seasonal Influenza","States/Local Areas","Nevada",32,"2011-12",3,"Age","≥6 Months",32,"29.5 to 34.5",6304,2011-03-01
"1152","Seasonal Influenza","States/Local Areas","New Hampshire",33,"2011-12",3,"Age","≥6 Months",43.6,"41.6 to 45.6",7003,2011-03-01
"1153","Seasonal Influenza","States/Local Areas","New Jersey",34,"2011-12",3,"Age","≥6 Months",42.4,"40.8 to 44.0",12538,2011-03-01
"1154","Seasonal Influenza","States/Local Areas","New Mexico",35,"2011-12",3,"Age","≥6 Months",44.3,"42.5 to 46.1",8714,2011-03-01
"1155","Seasonal Influenza","States/Local Areas","New York",36,"2011-12",3,"Age","≥6 Months",40.8,"39.1 to 42.5",8392,2011-03-01
"1156","Seasonal Influenza","States/Local Areas","North Carolina",37,"2011-12",3,"Age","≥6 Months",45.5,"43.8 to 47.2",13141,2011-03-01
"1157","Seasonal Influenza","States/Local Areas","North Dakota",38,"2011-12",3,"Age","≥6 Months",43.5,"41.4 to 45.6",5126,2011-03-01
"1158","Seasonal Influenza","States/Local Areas","Ohio",39,"2011-12",3,"Age","≥6 Months",43.1,"41.3 to 44.9",9768,2011-03-01
"1159","Seasonal Influenza","States/Local Areas","Oklahoma",40,"2011-12",3,"Age","≥6 Months",44.8,"42.8 to 46.8",7841,2011-03-01
"1160","Seasonal Influenza","States/Local Areas","Oregon",41,"2011-12",3,"Age","≥6 Months",36.9,"35.1 to 38.7",6398,2011-03-01
"1161","Seasonal Influenza","States/Local Areas","Pennsylvania",42,"2011-12",3,"Age","≥6 Months",43.1,"41.6 to 44.6",16922,2011-03-01
"1162","Seasonal Influenza","States/Local Areas","Rhode Island",44,"2011-12",3,"Age","≥6 Months",49.4,"47.3 to 51.5",6948,2011-03-01
"1163","Seasonal Influenza","States/Local Areas","South Carolina",45,"2011-12",3,"Age","≥6 Months",41.2,"39.4 to 43.0",12189,2011-03-01
"1164","Seasonal Influenza","States/Local Areas","South Dakota",46,"2011-12",3,"Age","≥6 Months",51.1,"47.9 to 54.3",5473,2011-03-01
"1165","Seasonal Influenza","States/Local Areas","Tennessee",47,"2011-12",3,"Age","≥6 Months",46.9,"43.5 to 50.3",6820,2011-03-01
"1166","Seasonal Influenza","States/Local Areas","Texas",48,"2011-12",3,"Age","≥6 Months",40.9,"39.3 to 42.5",18233,2011-03-01
"1167","Seasonal Influenza","States/Local Areas","Utah",49,"2011-12",3,"Age","≥6 Months",42.5,"40.3 to 44.7",9449,2011-03-01
"1168","Seasonal Influenza","States/Local Areas","Vermont",50,"2011-12",3,"Age","≥6 Months",45.2,"43.0 to 47.4",6807,2011-03-01
"1169","Seasonal Influenza","States/Local Areas","Virginia",51,"2011-12",3,"Age","≥6 Months",45.5,"43.4 to 47.6",6957,2011-03-01
"1170","Seasonal Influenza","States/Local Areas","Washington",53,"2011-12",3,"Age","≥6 Months",40.7,"39.1 to 42.3",14140,2011-03-01
"1171","Seasonal Influenza","States/Local Areas","West Virginia",54,"2011-12",3,"Age","≥6 Months",47,"45.1 to 48.9",6026,2011-03-01
"1172","Seasonal Influenza","States/Local Areas","Wisconsin",55,"2011-12",3,"Age","≥6 Months",39.5,"37.2 to 41.8",4907,2011-03-01
"1173","Seasonal Influenza","States/Local Areas","Wyoming",56,"2011-12",3,"Age","≥6 Months",36.8,"34.4 to 39.2",6621,2011-03-01
"1174","Seasonal Influenza","States/Local Areas","Alabama",1,"2011-12",4,"Age","≥6 Months",41.6,"39.7 to 43.5",8598,2011-04-01
"1175","Seasonal Influenza","States/Local Areas","Alaska",2,"2011-12",4,"Age","≥6 Months",34.6,"32.1 to 37.1",4380,2011-04-01
"1176","Seasonal Influenza","States/Local Areas","Arizona",4,"2011-12",4,"Age","≥6 Months",38.2,"35.8 to 40.6",7028,2011-04-01
"1177","Seasonal Influenza","States/Local Areas","Arkansas",5,"2011-12",4,"Age","≥6 Months",45.9,"43.5 to 48.3",5812,2011-04-01
"1178","Seasonal Influenza","States/Local Areas","California",6,"2011-12",4,"Age","≥6 Months",39.6,"35.7 to 43.5",10219,2011-04-01
"1179","Seasonal Influenza","States/Local Areas","Colorado",8,"2011-12",4,"Age","≥6 Months",44.3,"42.5 to 46.1",11945,2011-04-01
"1180","Seasonal Influenza","States/Local Areas","Connecticut",9,"2011-12",4,"Age","≥6 Months",46.3,"44.3 to 48.3",8043,2011-04-01
"1181","Seasonal Influenza","States/Local Areas","Delaware",10,"2011-12",4,"Age","≥6 Months",46.1,"43.6 to 48.6",5737,2011-04-01
"1182","Seasonal Influenza","States/Local Areas","District of Columbia",11,"2011-12",4,"Age","≥6 Months",46.5,"43.8 to 49.2",5203,2011-04-01
"1183","Seasonal Influenza","States/Local Areas","Florida",12,"2011-12",4,"Age","≥6 Months",36.8,"34.1 to 39.5",7739,2011-04-01
"1184","Seasonal Influenza","States/Local Areas","Georgia",13,"2011-12",4,"Age","≥6 Months",37.9,"35.8 to 40.0",8305,2011-04-01
"1185","Seasonal Influenza","States/Local Areas","Hawaii",15,"2011-12",4,"Age","≥6 Months",48.6,"46.0 to 51.2",7461,2011-04-01
"1186","Seasonal Influenza","States/Local Areas","Idaho",16,"2011-12",4,"Age","≥6 Months",34.3,"32.0 to 36.6",6375,2011-04-01
"1187","Seasonal Influenza","States/Local Areas","Illinois",17,"2011-12",4,"Age","≥6 Months",37.3,"35.3 to 39.3",7725,2011-04-01
"1188","Seasonal Influenza","States/Local Areas","Indiana",18,"2011-12",4,"Age","≥6 Months",40,"38.2 to 41.8",7767,2011-04-01
